"external_id","source_id","subject","subject_slug","chapter_num","chapter_slug","chapter_title","node_kind","statement","option_a","option_b","option_c","option_d","correct_option","explanation","difficulty","flag_for_review","source","tests"
"maths-ch2-q11","ch2-q11","Mathematics","maths","2","sets-functions-and-groups","Sets, Functions and Groups","chapter","If A and B are non-empty sets, then which of the following must be incorrect?","A n B = A","A u B = empty set","A subset-of B","B subset-of A","b","The union of two non-empty sets contains all their elements and can never be empty, so A u B = empty set must be incorrect. The other options can be true depending on A and B.","hard","","oetp","net:past_paper"
"maths-ch2-q12","ch2-q12","Mathematics","maths","2","sets-functions-and-groups","Sets, Functions and Groups","chapter","If x = {1, 2, 3, 4} and y = {a, b, c, d} and f(x, y) = {(1, a), (2, b), (3, c), (4, d)}, the relation between x and y is:","Onto","Into","(1-1) and Into","(1-1) and Onto","d","Each element of x is paired with exactly one distinct element of y, with every element of y used. This is a bijective (one-to-one and onto) function.","medium","","oetp","net:past_paper"
"maths-ch2-q13","ch2-q13","Mathematics","maths","2","sets-functions-and-groups","Sets, Functions and Groups","chapter","Which of the following is equal to the universal set?","A u A","A n U","A u U","None of these","c","A u U = U (union with the universal set gives the universal set). Note A u A = A and A n U = A.","easy","","oetp","net:past_paper"
"maths-ch2-q14","ch2-q14","Mathematics","maths","2","sets-functions-and-groups","Sets, Functions and Groups","chapter","If A = {1, 3, 9, 2}, B = {2, 8, 5}, then A n B = ?","{2}","2","{1, 5}","None of these","a","The intersection returns elements common to both sets. The only common element is 2, and the intersection is itself a set, so A n B = {2}.","easy","","oetp","net:past_paper"
"maths-ch3-q1","y1-ch3-q1","Mathematics","maths","3","matrices-and-determinants","Matrices and Determinants","chapter","Find the value(s) of x if the given 3x3 determinant equals -30:","-2, 3","3, -4","2, -3","4, -3","a","Expanding the determinant and equating to -30 reduces to x^2 - x - 6 = 0, i.e. (x-3)(x+2)=0, so x = 3 or x = -2.","hard","Determinant entries partly garbled by OCR; answer verified from worked solution.","oetp","net:past_paper"
"maths-ch3-q2","y1-ch3-q2","Mathematics","maths","3","matrices-and-determinants","Matrices and Determinants","chapter","Determinant of the given 3x3 matrix (its 1st and 3rd rows are identical) is:","24","12","-44","None of these","d","If two rows of a matrix are identical, the determinant is 0. Since 0 is not listed, the answer is None of these.","medium","","oetp","net:past_paper"
"maths-ch3-q3","y1-ch3-q3","Mathematics","maths","3","matrices-and-determinants","Matrices and Determinants","chapter","Inverse of A = [[a, b], [c, d]] is:","(1/(ad-bc)) [[-a, b],[c, d]]","(1/(ad-bc)) [[a, b],[c, d]]","[[d, -b],[-c, a]] (no 1/det factor)","None of these","d","The correct inverse is (1/(ad-bc)) [[d, -b], [-c, a]]. None of the printed options matched exactly, so the key marks None of these.","hard","","oetp","net:past_paper"
"maths-ch3-q4","y1-ch3-q4","Mathematics","maths","3","matrices-and-determinants","Matrices and Determinants","chapter","Inverse of the given 2x2 matrix A is:","see scan","see scan","see scan","None of these","","Question matrix and options were too corrupted by OCR to recover reliably.","medium","UNRECOVERABLE: Q4 matrix/options garbled. Needs manual entry from scan; answer not assigned.","oetp","net:past_paper"
"maths-ch3-q5","y1-ch3-q5","Mathematics","maths","3","matrices-and-determinants","Matrices and Determinants","chapter","Null matrix of order 1 x 2 is:","(0  0)","(0; 0) column form","[[0,0],[0,0]]","Both a and b","a","A null matrix of order 1 x 2 has 1 row and 2 columns of zeros: (0  0).","easy","","oetp","net:past_paper"
"maths-ch3-q6","y1-ch3-q6","Mathematics","maths","3","matrices-and-determinants","Matrices and Determinants","chapter","Orders of some matrices are given below. Which one of them cannot be multiplied?","m x n, n x p","a x b, b x c","1 x 2, 2 x 6","3 x 5, 4 x 1","d","Multiplication needs columns of the first = rows of the second. For 3 x 5 and 4 x 1, 5 != 4, so they cannot be multiplied.","medium","","oetp","net:past_paper"
"maths-ch3-q7","y1-ch3-q7","Mathematics","maths","3","matrices-and-determinants","Matrices and Determinants","chapter","Find the cofactor of the element 1 in the given matrix A (minor of 1 is 4, at position (1,1)):","1","-1","4","-4","c","Cofactor = (-1)^(i+j) x minor. For position (1,1): (-1)^2 x 4 = +4.","medium","","oetp","net:past_paper"
"maths-ch3-q8","y1-ch3-q8","Mathematics","maths","3","matrices-and-determinants","Matrices and Determinants","chapter","If A is the given 2x2 matrix, find |A^-1| (determinant of its inverse):","60","0","120","None of these","d","The key computes |A| = 4(15) - 12(5) = 60 - 60 = 0, so A is singular; its inverse does not exist. Hence None of these.","hard","Matrix entries garbled; conclusion (singular -> None of these) from key.","oetp","net:past_paper"
"maths-ch3-q9","y1-ch3-q9","Mathematics","maths","3","matrices-and-determinants","Matrices and Determinants","chapter","What is the determinant of a Null matrix?","1","0","infinity","None of these","b","A null matrix has all entries 0, so its determinant is always 0.","easy","","oetp","net:past_paper"
"maths-ch3-q10","y1-ch3-q10","Mathematics","maths","3","matrices-and-determinants","Matrices and Determinants","chapter","If A is symmetric, then A - A^t =","2A","A","0","None of these","c","For a symmetric matrix A^t = A, so A - A^t = A - A = 0.","easy","","oetp","net:past_paper"
"maths-ch3-q11","y1-ch3-q11","Mathematics","maths","3","matrices-and-determinants","Matrices and Determinants","chapter","Find the product BA for the given 2x2 matrices A and B:","see scan","see scan","see scan","None of these","","Both matrices and all options were too corrupted by OCR to recover reliably.","medium","UNRECOVERABLE: Q11 matrices/options garbled. Needs manual entry from scan; answer not assigned.","oetp","net:past_paper"
"maths-ch3-q12","y1-ch3-q12","Mathematics","maths","3","matrices-and-determinants","Matrices and Determinants","chapter","Find the inverse of the diagonal matrix diag(-3, 9, 5):","diag(-1/3, 1/9, 1/5)","diag(-3, 9, 5)","diag(3, -9, -5)","Inverse does not exist","a","For a diagonal matrix with non-zero diagonal entries, the inverse is the diagonal matrix of reciprocals: diag(-1/3, 1/9, 1/5).","medium","","oetp","net:past_paper"
"maths-ch3-q13","y1-ch3-q13","Mathematics","maths","3","matrices-and-determinants","Matrices and Determinants","chapter","If A and B are two matrices, then adjoint(AB) is equal to:","adjoint(A) adjoint(B)","adjoint(B) adjoint(A)","adjoint(BA)","None of these","b","Adjoint reverses order under multiplication: adjoint(AB) = adjoint(B) adjoint(A).","easy","","oetp","net:past_paper"
"maths-ch3-q14","y1-ch3-q14","Mathematics","maths","3","matrices-and-determinants","Matrices and Determinants","chapter","If A = [[4, a, 3], [7, 3, 6], [2, 3, 1]] is singular, then a =","0","-5","3","7","c","Singular means det = 0. Expanding by column 1: |A| = 4(3-18) - a(7-12) + 3(21-6) = 5a - 15. Set 5a - 15 = 0 -> a = 3.","hard","","oetp","net:past_paper"
"maths-ch3-q15","y1-ch3-q15","Mathematics","maths","3","matrices-and-determinants","Matrices and Determinants","chapter","Which of the following set of matrices can be multiplied?","(1 1)(1 1)","a column with [0 0]","(1 0) with a 2x1 column","All of these","c","Only option c is a 1x2 multiplied by a 2x1, where columns of the first (2) equal rows of the second (2).","medium","Option matrices garbled; answer from key.","oetp","net:past_paper"
"maths-ch3-q16","y1-ch3-q16","Mathematics","maths","3","matrices-and-determinants","Matrices and Determinants","chapter","Find the minor of the element 7 in the given 3x3 matrix (7 is in row 3, column 1):","8","9","5","6","c","The minor of 7 is the 2x2 determinant after deleting its row and column: 32 - 27 = 5.","medium","Matrix entries garbled; answer verified from key.","oetp","net:past_paper"
"maths-ch3-q17","y1-ch3-q17","Mathematics","maths","3","matrices-and-determinants","Matrices and Determinants","chapter","Find the determinant of the given 4x4 matrix A:","28","156","720","None of these","d","After taking 2 common from the 2nd row, the 2nd and 4th rows become identical, so the determinant is 0 = None of these.","hard","","oetp","net:past_paper"
"maths-ch4-q1","y1-ch4-q1","Mathematics","maths","4","quadratic-equations","Quadratic Equations","chapter","ax^2 + bx + c = 0 has only one root if:","a = 0","b = 0","c = 0","a = b","a","When a = 0, the equation reduces to the linear equation bx + c = 0, which has only one root x = -c/b.","medium","","oetp","net:past_paper"
"maths-ch4-q2","y1-ch4-q2","Mathematics","maths","4","quadratic-equations","Quadratic Equations","chapter","If x = 3y and 3x - 2y = 7, which of the following is the value of y that satisfies both?","1","1.5","2.5","3","a","Substitute x = 3y into 3x - 2y = 7: 9y - 2y = 7 -> 7y = 7 -> y = 1.","medium","","oetp","net:past_paper"
"maths-ch4-q3","y1-ch4-q3","Mathematics","maths","4","quadratic-equations","Quadratic Equations","chapter","Sum of reciprocals of the 4th roots of unity is?","0","1","i","2","a","Fourth roots of unity are 1, -1, i, -i. Their reciprocals are 1, -1, 1/i, -1/i, which add up to 0.","easy","","oetp","net:past_paper"
"maths-ch4-q4","y1-ch4-q4","Mathematics","maths","4","quadratic-equations","Quadratic Equations","chapter","Real fourth roots of unity are:","0, 1","1, -1","1, -1, i, -i","0, 1, i","b","The fourth roots of unity are 1, -1, i, -i. The real ones are 1 and -1.","easy","","oetp","net:past_paper"
"maths-ch4-q5","y1-ch4-q5","Mathematics","maths","4","quadratic-equations","Quadratic Equations","chapter","The sum of all fourth roots of unity is:","1","0","-1","i","b","Fourth roots of unity are 1, -1, i, -i; their sum is 0.","easy","","oetp","net:past_paper"
"maths-ch4-q6","y1-ch4-q6","Mathematics","maths","4","quadratic-equations","Quadratic Equations","chapter","What will be the value of 'a' in x^4 + x^2 + ax + 1 if 1 is a root of the expression?","0","1","-3","3","c","If 1 is a root, substituting x = 1 gives 1 + 1 + a + 1 = 0 -> a + 3 = 0 -> a = -3.","hard","","oetp","net:past_paper"
"maths-ch4-q7","y1-ch4-q7","Mathematics","maths","4","quadratic-equations","Quadratic Equations","chapter","Which of the following are the roots of the equation x^2 - 3x - 4 = 0?","1, 4","3, 4","-1, 4","-3, 4","c","x^2 - 3x - 4 = (x + 1)(x - 4) = 0, so x = -1 or x = 4.","medium","","oetp","net:past_paper"
"maths-ch4-q8","y1-ch4-q8","Mathematics","maths","4","quadratic-equations","Quadratic Equations","chapter","Cube roots of unity are?","1, w, w^2","1, -1, i","1, i, -i","0, 1, -1","a","The cube roots of unity are 1, w and w^2 (where w is the complex cube root of unity).","easy","","oetp","net:past_paper"
"maths-ch4-q9","y1-ch4-q9","Mathematics","maths","4","quadratic-equations","Quadratic Equations","chapter","If x^4 - 3x^2 - 4 = 0 then its roots are:","2, -2, i and -i","1, -1, i and -i","i, -i only","None of these","a","Let y = x^2: y^2 - 3y - 4 = 0 -> y = 4 or y = -1. So x^2 = 4 -> x = 2, -2; and x^2 = -1 -> x = i, -i.","medium","","oetp","net:past_paper"
"maths-ch4-q10","y1-ch4-q10","Mathematics","maths","4","quadratic-equations","Quadratic Equations","chapter","Product of cube roots of unity is:","1","0","-1","w","a","The product of the cube roots of unity 1 * w * w^2 = w^3 = 1.","easy","","oetp","net:past_paper"
"maths-ch4-q11","y1-ch4-q11","Mathematics","maths","4","quadratic-equations","Quadratic Equations","chapter","w^28 + w^29 = ?","w^2","0","2w","1","c","Since w^3 = 1: w^28 = w^(27+1) = w and w^29 = w^2... using w^27 = 1, w^28 + w^29 = w + w^2... per the key this evaluates to 2w.","hard","OCR exponents ambiguous; answer (2w) taken from key. Verify exponents against scan.","oetp","net:past_paper"
"maths-ch4-q12","y1-ch4-q12","Mathematics","maths","4","quadratic-equations","Quadratic Equations","chapter","The equation which does not change by replacing x with 1/x is known as:","Linear","Quadratic","Proportional","Reciprocal equation","d","An equation that remains unchanged when x is replaced by 1/x is called a reciprocal equation.","medium","","oetp","net:past_paper"
"maths-ch4-q13","y1-ch4-q13","Mathematics","maths","4","quadratic-equations","Quadratic Equations","chapter","If n is any real number and w^n = w^2 where w is a cube root of unity, which of the following is a possible value of n?","4","6","-2","-1","d","Since w^3 = 1, w^n cycles every 3. w^(-2) = w^(3-2) = w^1... per the key, w^(-1) = w^2, so the matching value is n = -1; the key marks -1.","hard","","oetp","net:past_paper"
"maths-ch4-q14","y1-ch4-q14","Mathematics","maths","4","quadratic-equations","Quadratic Equations","chapter","If a and b are the roots of ax^2 + bx + c = 0, then the equation with roots 1/a and 1/b is:","x^2/a + x/b + 1/c = 0","ay^2 + by + c = 0","cy^2 + by + a = 0","None of these","c","For roots 1/a and 1/b: sum = (a+b)/(ab) = -b/c, product = 1/(ab) = a/c. The required equation y^2 - (sum)y + product = 0 becomes cy^2 + by + a = 0.","hard","","oetp","net:past_paper"
"maths-ch4-q15","y1-ch4-q15","Mathematics","maths","4","quadratic-equations","Quadratic Equations","chapter","Simplify: cube root of a^3 * cube root of b^3 * cube root of c^3 (product form):","cube root of abc","(abc)^(1/3)","a*b*c","3","c","Each cube root simplifies to the base, so the product is a*b*c (the key gives the simplified value 1 for the specific ratio form; here the product of cube roots equals abc).","hard","","oetp","net:past_paper"
"maths-ch4-q16","y1-ch4-q16","Mathematics","maths","4","quadratic-equations","Quadratic Equations","chapter","Find the square of (-1 - sqrt(3) i)/2:","(-1 - sqrt(3) i)/2","(-1 + sqrt(3) i)/2","1","None of these","b","((-1 - sqrt(3) i)/2)^2 = (1 + 2 sqrt(3) i + 3 i^2)/4 = (1 - 3 + 2 sqrt(3) i)/4 = (-2 + 2 sqrt(3) i)/4 = (-1 + sqrt(3) i)/2.","hard","","oetp","net:past_paper"
"maths-ch4-q17","y1-ch4-q17","Mathematics","maths","4","quadratic-equations","Quadratic Equations","chapter","If a + b = 10 and the equation is x^2 - kx + 1 = 0... find the value of k (sum of roots = 10):","5","-5","20","-20","c","Sum of roots of x^2 - kx + 1 = 0 is k. Per the key, with the given condition the sum equals 20, so k = 20.","hard","OCR garbled equation; answer (20) per key. Verify against scan.","oetp","net:past_paper"
"maths-ch4-q18","y1-ch4-q18","Mathematics","maths","4","quadratic-equations","Quadratic Equations","chapter","w^7 + w^22 can be simplified to:","-1","w^2","w^7 + 1","w","d","Using w^3 = 1: w^7 = w, w^22 = w. So w^7 + w^22 = w + w ... per key it simplifies to w.","hard","OCR exponents ambiguous; answer (w) per key. Verify against scan.","oetp","net:past_paper"
"maths-ch4-q19","y1-ch4-q19","Mathematics","maths","4","quadratic-equations","Quadratic Equations","chapter","Factors of x^2 - 2x + 1 are:","(x - 2)(x + 1)","(x + 2)(x - 1)","(x - 1)(x - 1)","(x + 1)(x - 1)","c","x^2 - 2x + 1 = (x - 1)^2 = (x - 1)(x - 1).","easy","","oetp","net:past_paper"
"maths-ch4-q20","y1-ch4-q20","Mathematics","maths","4","quadratic-equations","Quadratic Equations","chapter","Factors of x^2 + 5x + 6 are:","(x + 6)(x + 1)","(x + 5)(x + 1)","(x + 3)(x + 2)","(x - 6)(x - 1)","c","x^2 + 5x + 6 = (x + 2)(x + 3).","easy","","oetp","net:past_paper"
"maths-ch4-q21","y1-ch4-q21","Mathematics","maths","4","quadratic-equations","Quadratic Equations","chapter","If the diagonal of a square measures 20 units, then the length of its sides is:","10","7","10 sqrt(2)","None of these","c","For a square, diagonal d = sqrt(2) * side. So side = d/sqrt(2) = 20/sqrt(2) = 10 sqrt(2).","medium","","oetp","net:past_paper"
"maths-ch4-q22","y1-ch4-q22","Mathematics","maths","4","quadratic-equations","Quadratic Equations","chapter","Find three consecutive integers such that when twice the second number is subtracted from the sum of first and three times the third, the result is 44:","8, 9, 10","13, 14, 15","13, 14, 16","20, 21, 22","d","Let integers be x, x+1, x+2. Then x + 3(x+2) - 2(x+1) = 44 -> 2x + 4 = 44 -> x = 20. So integers are 20, 21, 22.","hard","","oetp","net:past_paper"
"maths-ch4-q23","y1-ch4-q23","Mathematics","maths","4","quadratic-equations","Quadratic Equations","chapter","If f(x) = x^7 + x^8 + x^9 + x^2 + x + 1 is divided by x + 1, then the remainder is:","6","-6","2","-2","d","By the Remainder Theorem, remainder = f(-1) = -1 + 1 - 1 - 1 - 1 + 1 = -2.","medium","Polynomial terms partly garbled by OCR; answer per worked solution f(-1) = -2.","oetp","net:past_paper"
