external_id,source_id,subject,subject_slug,chapter_num,chapter_slug,chapter_title,node_kind,statement,option_a,option_b,option_c,option_d,option_e,correct_option,explanation,difficulty,flag_for_review,source,tests
pu-verbal-reasoning-ch4-q4,p011-q13,Verbal Reasoning,pu-verbal-reasoning,4,sentence-completion,Sentence Completion,topic,It is ___ since Haris went away.,One and quarter,One and quarter hour,One hours and quarter,One hour and a quarter,,d,The grammatically correct time expression is 'one hour and a quarter'.,medium,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch4-q5,p011-q14,Verbal Reasoning,pu-verbal-reasoning,4,sentence-completion,Sentence Completion,topic,"Where politics fails, economics ___.",May sometimes succeeds,May sometime succeeds,Sometimes succeed,Sometimes succeeds,,d,'Sometimes succeeds' is the grammatically correct form: 'economics' is a singular noun requiring the singular verb 'succeeds'. 'May sometimes succeeds' (option a) is ungrammatical.,medium,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch4-q6,p011-q15,Verbal Reasoning,pu-verbal-reasoning,4,sentence-completion,Sentence Completion,topic,He has been working ___ for several years to compile a dictionary.,Regularly,Constantly,On and off,On or off,,c,Off and on' means the same as 'on and off' (intermittently).,easy,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch5-q1,p011-q16,Verbal Reasoning,pu-verbal-reasoning,5,comprehension,Comprehension,topic,[Cricket passage] What is/are true of Shrewsbury? I. He was a cricket player. II. His technical knowledge about cricket was poor. III. There was no spirit in his play.,I and II,I and III,Only I,None of these,,b,The passage says Shrewsbury was technically astonishing (so II is false) but lacked spirit; statements I (player) and III (no spirit) are true.,hard,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch5-q2,p012-q17,Verbal Reasoning,pu-verbal-reasoning,5,comprehension,Comprehension,topic,[Cricket passage] The author feels that:,Technical perfection is not required in playing an enjoyable cricket,He who plays cricket with adventure and enthusiasm makes it enjoyable,He who scores a century must be a good cricketer,Cricket is a monotonous game,,b,The author values joyous adventure and enthusiasm over mere technical run-scoring.,medium,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch5-q3,p012-q18,Verbal Reasoning,pu-verbal-reasoning,5,comprehension,Comprehension,topic,[Cricket passage] Jam Sahib:,Was a splendid cricket player,Lived in Nawanagar,Neither (A) nor (B) is true,Both (A) and (B) are true,,d,"The passage describes Jam Sahib as a splendid player and the ruler of Nawanagar, so both statements are true.",medium,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch5-q4,p012-q19,Verbal Reasoning,pu-verbal-reasoning,5,comprehension,Comprehension,topic,[Cricket passage] 'In literature as in finance... much paper and much poverty may co-exist.' What does it mean?,Jam Sahib was rich man as he was the king of Nawanagar,Shrewsbury was a poor man,The cricketer who gets lot of runs may not play an enjoyable cricket,None of these,,c,The metaphor means quantity (many runs / much paper) can coexist with poverty of quality; a high-scoring cricketer may still play joyless cricket.,hard,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch5-q5,p012-q20,Verbal Reasoning,pu-verbal-reasoning,5,comprehension,Comprehension,topic,[Cricket passage] What gives cricket its character?,The spirit of sacrifice,The spirit of joyous adventure,The gaiety daring attitude of the player,All of these,,d,"The passage attributes cricket's character to sacrifice, joyous adventure, and the player's daring gaiety together.",medium,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch1-q6,p022-q1,Verbal Reasoning,pu-verbal-reasoning,1,analogy,Analogy,topic,Choose the pair that best expresses a relationship similar to that in ADULT : CHILD.,Horse : Mare,Cat : Kitten,Swine : Sow,Human : Animal,Cow : Herd,b,An adult is the grown form of a child; a cat is the grown (adult) form of a kitten - the same adult-to-infant relationship.,medium,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch1-q7,p022-q2,Verbal Reasoning,pu-verbal-reasoning,1,analogy,Analogy,topic,Choose the pair that best expresses a relationship similar to that in MANSION : RESIDENCE.,Limousine : Automobile,Chandelier : Candle,Tuxedo : Wardrobe,Diamond : Rhinestone,Yacht : Harbour,a,"A mansion is a large, stately residence; a limousine is a large, stately automobile.",medium,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch1-q8,p023-q3,Verbal Reasoning,pu-verbal-reasoning,1,analogy,Analogy,topic,Choose the pair that best expresses a relationship similar to that in ENVELOP : LETTER.,Scarf : Hat,Box : Bag,Crate : Produce,Neck : Head,Blood : Heart,c,An envelope encloses/contains a letter; a crate encloses/contains produce (container to contents).,medium,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch1-q9,p023-q4,Verbal Reasoning,pu-verbal-reasoning,1,analogy,Analogy,topic,Choose the pair that best expresses a relationship similar to that in CHOREOGRAPHY : DANCE.,Ceremony : Sermon,Agenda : Advertisement,Poetry : Recitation,Instrumentation : Conductor,Plot : Story,c,"Choreography is the composed, written form of dance — it is created to be performed as dance. Similarly, poetry is the composed form that is performed through recitation.",hard,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch1-q10,p023-q5,Verbal Reasoning,pu-verbal-reasoning,1,analogy,Analogy,topic,Choose the pair that best expresses a relationship similar to that in OVERDOSE : PRESCRIPTION.,Deprivation : Materialism,Indiscretion : Convention,Affliction : Sympathy,Adventure : Expedition,Drug : Medicine,b,An overdose is an amount that exceeds the prescription; an indiscretion is behaviour that exceeds accepted convention. Both express the idea of going beyond an established standard.,hard,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch1-q11,p023-q6,Verbal Reasoning,pu-verbal-reasoning,1,analogy,Analogy,topic,Choose the pair that best expresses a relationship similar to that in EVAPORATE : VAPOR.,Petrify : Stone,Centrifuge : Liquid,Saturate : Fluid,Corrode : Acid,Incinerate : Fire,a,To evaporate is to turn into vapor; to petrify is to turn into stone (process to resulting form).,medium,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch1-q12,p023-q7,Verbal Reasoning,pu-verbal-reasoning,1,analogy,Analogy,topic,Choose the pair that best expresses a relationship similar to that in SHARD : POTTERY.,Flint : Stone,Flange : Wheel,Cinder : Coal,Fragment : Bone,Tare : Grain,d,A shard is a broken piece of pottery; a fragment is a broken piece of bone (broken part to whole).,medium,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch1-q13,p023-q8,Verbal Reasoning,pu-verbal-reasoning,1,analogy,Analogy,topic,Choose the pair that best expresses a relationship similar to that in MERCENARY : MONEY.,Vindictive : Revenge,Scholarly : Library,Immaculate : Cleanliness,Thirsty : Water,Belligerent : Invasion,a,A mercenary is motivated by money; a vindictive person is motivated by revenge (driven-by relationship).,hard,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch1-q14,p023-q9,Verbal Reasoning,pu-verbal-reasoning,1,analogy,Analogy,topic,Choose the pair that best expresses a relationship similar to that in HAMMER : ANVIL.,Knocker : Door,Stick : Gong,Hand : Drum,Pestle : Mortar,Gavel : Lectern,d,"A hammer works against an anvil, its paired working surface; a pestle works within a mortar, its paired vessel.",hard,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch1-q15,p023-q10,Verbal Reasoning,pu-verbal-reasoning,1,analogy,Analogy,topic,Choose the pair that best expresses a relationship similar to that in NUMB : INSENSITIVE.,Reflect : Luminous,Burnish : Lustrous,Heckle : Raucous,Repulse : Odious,Braid : Sinuous,b,To numb something is to make it insensitive; to burnish something is to make it lustrous. Both pairs follow the pattern: verb meaning 'to cause X quality' : the resulting quality.,hard,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch2-q3,p040-q88,Verbal Reasoning,pu-verbal-reasoning,2,synonyms,Synonyms,topic,Choose the word closest in meaning to AFFLUENT:,Close,Prosperous,Poor,Talkative,,b,Affluent means wealthy; its synonym is prosperous.,easy,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch2-q4,p040-q89,Verbal Reasoning,pu-verbal-reasoning,2,synonyms,Synonyms,topic,It was Suhail's PRACTICE to get up early and go for a walk before breakfast. Choose the closest meaning of the underlined word 'practice'.,Rule,Fashion,Habit,Convention,,c,Here 'practice' means a customary habit or routine.,easy,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch2-q5,p040-q90,Verbal Reasoning,pu-verbal-reasoning,2,synonyms,Synonyms,topic,Madiha asked Irum not to MEDDLE in her affairs. Choose the closest meaning of the underlined word 'meddle'.,Intercede,Impose,Cross,Interfere,,d,To meddle means to interfere in others' affairs.,medium,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch2-q6,p040-q91,Verbal Reasoning,pu-verbal-reasoning,2,synonyms,Synonyms,topic,My friends promised to LOOK UP my sister whenever they went to London. Choose the closest meaning of the underlined phrase 'look up'.,Greet,Contact,Visit,Survey,,c,To 'look up' someone means to visit or call on them.,medium,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch2-q7,p040-q92,Verbal Reasoning,pu-verbal-reasoning,2,synonyms,Synonyms,topic,We must ERADICATE corruption. Choose the closest meaning of the underlined word 'eradicate'.,Minimise,Uproot,Condemn,Control,,b,To eradicate means to uproot or completely eliminate.,medium,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch2-q8,p040-q93,Verbal Reasoning,pu-verbal-reasoning,2,synonyms,Synonyms,topic,Grandfather has been getting FEEBLE of late. Choose the closest meaning of the underlined word 'feeble'.,Tall,Small,Big,Weak,,d,Feeble means lacking strength; its synonym is weak.,easy,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch2-q9,p040-q94,Verbal Reasoning,pu-verbal-reasoning,2,synonyms,Synonyms,topic,Choose the word closest in meaning to RELUCTANT:,Unwilling,Curious,Enthusiastic,Agreeable,,a,Reluctant means unwilling or hesitant.,easy,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch2-q10,p040-q95,Verbal Reasoning,pu-verbal-reasoning,2,synonyms,Synonyms,topic,Choose the word closest in meaning to TENSE:,Cosy,Uncomfortable,Easy,Relaxed,,b,Tense means strained or uncomfortable.,easy,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch2-q11,p040-q96,Verbal Reasoning,pu-verbal-reasoning,2,synonyms,Synonyms,topic,Choose the word closest in meaning to EXTINCT:,Unimportant,Obscure,Irrelevant,Useless,,b,Printed key marks 'Obscure' as the synonym of EXTINCT.,medium,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch2-q12,p040-q97,Verbal Reasoning,pu-verbal-reasoning,2,synonyms,Synonyms,topic,Choose the word closest in meaning to SIGNIFICANT:,Expressive,Alive,Extreme,Distinct,,d,Printed key marks 'Distinct' as the synonym of SIGNIFICANT (in the sense of notable/marked).,medium,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch2-q13,p040-q98,Verbal Reasoning,pu-verbal-reasoning,2,synonyms,Synonyms,topic,Choose the word closest in meaning to EXTRAVAGANT:,Narrow-minded,Mean,Uneconomical,Miserly,,c,Extravagant means spending excessively; its synonym is uneconomical.,medium,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch2-q14,p040-q99,Verbal Reasoning,pu-verbal-reasoning,2,synonyms,Synonyms,topic,Choose the word closest in meaning to APPLAUD:,Flatter,Pray,Praise,Request,,c,To applaud means to praise or commend.,easy,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch2-q15,p040-q100,Verbal Reasoning,pu-verbal-reasoning,2,synonyms,Synonyms,topic,Choose the word closest in meaning to ABUNDANT:,Excessive,Plentiful,Heavy,Long,,b,Abundant means existing in large quantity; its synonym is plentiful.,easy,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch2-q16,p040-q101,Verbal Reasoning,pu-verbal-reasoning,2,synonyms,Synonyms,topic,Choose the word closest in meaning to THRIVE:,Prosper,Entertain,Revive,Survive,,a,To thrive means to prosper or flourish.,easy,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch2-q17,p040-q102,Verbal Reasoning,pu-verbal-reasoning,2,synonyms,Synonyms,topic,Choose the word closest in meaning to ECONOMISE:,Accumulate,Minimise,Save,Reduce,,c,To economise means to save or use resources sparingly.,easy,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch2-q18,p040-q103,Verbal Reasoning,pu-verbal-reasoning,2,synonyms,Synonyms,topic,Choose the word closest in meaning to GRUESOME:,Clear,Fresh,Rude,Horrible,,d,Gruesome means causing horror; its synonym is horrible.,easy,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch2-q19,p040-q104,Verbal Reasoning,pu-verbal-reasoning,2,synonyms,Synonyms,topic,Choose the word closest in meaning to DOUBT:,Disbelief,Mistake,Dullness,Ignorance,,a,Doubt means a feeling of uncertainty or disbelief.,easy,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch2-q20,p040-q105,Verbal Reasoning,pu-verbal-reasoning,2,synonyms,Synonyms,topic,Choose the word closest in meaning to TRIUMPH:,Joy,Gain,Victory,Excitement,,c,Triumph means a great victory or success.,easy,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch2-q21,p040-q106,Verbal Reasoning,pu-verbal-reasoning,2,synonyms,Synonyms,topic,Choose the word closest in meaning to OUTSTANDING:,Interesting,Notorious,Prominent,Admirable,,c,Outstanding means exceptionally prominent or notable.,medium,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch2-q22,p040-q107,Verbal Reasoning,pu-verbal-reasoning,2,synonyms,Synonyms,topic,Choose the word closest in meaning to VOLUMINOUS:,Loud,Shining,Bulky,Long,,c,Voluminous means large in volume or bulk.,medium,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch2-q23,p040-q108,Verbal Reasoning,pu-verbal-reasoning,2,synonyms,Synonyms,topic,Choose the word closest in meaning to HOMELY:,Beautiful,Smooth,Simple,Rough,,c,Homely means plain and simple.,medium,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch2-q24,p040-q109,Verbal Reasoning,pu-verbal-reasoning,2,synonyms,Synonyms,topic,Choose the word closest in meaning to EXTRAVAGANT:,Proud,Unlimited,Wasteful,Expensive,,c,Extravagant means wasteful in spending.,easy,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch2-q25,p041-q110,Verbal Reasoning,pu-verbal-reasoning,2,synonyms,Synonyms,topic,Choose the word closest in meaning to CRUEL:,Hateful,Dreadful,Merciless,Indifferent,,c,Cruel means showing no mercy; its synonym is merciless.,easy,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch2-q26,p041-q111,Verbal Reasoning,pu-verbal-reasoning,2,synonyms,Synonyms,topic,Choose the word closest in meaning to MAJESTIC:,Attractive,Interesting,Grand,Extraordinary,,c,Majestic means grand and dignified.,easy,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch2-q27,p041-q112,Verbal Reasoning,pu-verbal-reasoning,2,synonyms,Synonyms,topic,Choose the word closest in meaning to MARVELLOUS:,Wonderful,Attractive,Charming,Pleasing,,a,Marvellous means wonderful or extraordinary.,easy,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch2-q28,p041-q113,Verbal Reasoning,pu-verbal-reasoning,2,synonyms,Synonyms,topic,Choose the word closest in meaning to JEOPARDY:,Enmity,Danger,Magic,Adventure,,b,Jeopardy means danger or risk of harm.,easy,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch2-q29,p041-q114,Verbal Reasoning,pu-verbal-reasoning,2,synonyms,Synonyms,topic,Choose the meaning closest to EMULATE:,Trying to do as well (as someone),"In spite of, to win",Enable,Likely to be late,,a,To emulate means to try to match or do as well as someone by imitation.,medium,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
pu-verbal-reasoning-ch2-q30,p041-q115,Verbal Reasoning,pu-verbal-reasoning,2,synonyms,Synonyms,topic,Choose the word closest in meaning to ERADICATE:,Complicate,Dedicate,Indicate,Eliminate,,d,To eradicate means to eliminate or wipe out completely.,easy,,pu-dogar,pu-e:past_paper;pu-m:past_paper;pu-ahs:past_paper;pu-csp:past_paper;pu-css:past_paper;pu-cse:past_paper;pu-gs:past_paper;pu-com:past_paper
